id,city.id.$numberLong,city.name,city.findname,city.country,city.coord.lon,city.coord.lat,city.zoom.$numberLong,id.$numberLong
,98459,As Suwayrah,AS SUWAYRAH,IQ,44.775829,32.92556,10,98459
98463,98463,As Sulaymaniyah,AS SULAYMANIYAH,IQ,45.437489,35.561131,7,
,98530,As Samawah,AS SAMAWAH,IQ,45.294399,31.33198,8,98530
,98589,Nahiyat ash Shinafiyah,NAHIYAT ASH SHINAFIYAH,IQ,44.66016,31.58737,10,98589
,98622,Ash Shatrah,ASH SHATRAH,IQ,46.174179,31.411711,8,98622
,98629,Ash Shamiyah,ASH SHAMIYAH,IQ,44.599041,31.963619,9,98629
,98677,Ar Rutbah,AR RUTBAH,IQ,40.284821,33.038071,7,98677
,98685,Ar Rumaythah,AR RUMAYTHAH,IQ,45.202461,31.526291,10,98685
,98717,Ar Ramadi,AR RAMADI,IQ,43.30584,33.422569,8,98717
,98854,An Nasiriyah,AN NASIRIYAH,IQ,46.261021,31.05205,7,98854
98860,98860,An Najaf al Ashraf,AN NAJAF AL ASHRAF,IQ,44.33976,31.998541,5,
,98885,Anat al Qadimah,ANAT AL QADIMAH,IQ,41.933102,34.465889,13,98885
,99010,Imam Qasim,IMAM QASIM,IQ,44.682812,32.297989,10,99010
,99039,Al Musayyib,AL MUSAYYIB,IQ,44.282509,32.783321,10,99039
,99060,Al Mishkhab,AL MISHKHAB,IQ,44.49107,31.804159,11,99060
,99062,Al Miqdadiyah,AL MIQDADIYAH,IQ,44.936939,33.978611,9,99062
,99071,Al Mawsil al Jadidah,AL MAWSIL AL JADIDAH,IQ,43.097771,36.334641,5,99071
,99072,Mosul,MOSUL,IQ,43.118889,36.334999,7,99072
,99097,Al Majar al Kabir,AL MAJAR AL KABIR,IQ,47.175289,31.572321,10,99097
,99131,Al Kut,AL KUT,IQ,45.819019,32.514702,8,99131
,99169,Khalis,KHALIS,IQ,44.526371,33.819962,9,99169
